Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b0008hdx,4,"Wednesday, March 14, 2012 23:01:55 UTC",40.9697,144.8793,4.6,27.80,44,"off the east coast of Honshu, Japan"
us,b0008hc1,9,"Wednesday, March 14, 2012 21:38:56 UTC",35.5494,141.6783,5.2,34.60,144,"near the east coast of Honshu, Japan"
us,b0008hb9,6,"Wednesday, March 14, 2012 21:13:11 UTC",-5.6420,151.0250,6.2,47.80,251,"New Britain region, Papua New Guinea"
nc,71747820,1,"Wednesday, March 14, 2012 21:09:09 UTC",38.7972,-122.8102,2.5,3.50,55,"Northern California"
us,b0008h5c,7,"Wednesday, March 14, 2012 19:07:43 UTC",-45.1633,166.7399,5.0,10.80,60,"off the west coast of the South Island of New Zealand"
ak,10431744,2,"Wednesday, March 14, 2012 16:41:11 UTC",58.9968,-154.1817,3.6,134.10,76,"Alaska Peninsula"
us,2012ydb6,5,"Wednesday, March 14, 2012 16:31:42 UTC",18.3130,-102.0200,4.3,72.40,87,"Michoacan, Mexico"
ci,11079874,0,"Wednesday, March 14, 2012 16:21:51 UTC",34.6197,-116.6047,2.5,8.30,75,"Southern California"
us,2012ydbu,6,"Wednesday, March 14, 2012 14:54:19 UTC",40.9357,144.9110,4.6,7.70,38,"off the east coast of Honshu, Japan"
ci,11079850,2,"Wednesday, March 14, 2012 14:05:20 UTC",34.7268,-116.2958,2.9,6.00,51,"Southern California"
us,2012ydbs,5,"Wednesday, March 14, 2012 14:04:09 UTC",40.9597,144.8369,4.6,8.70,25,"off the east coast of Honshu, Japan"
us,2012ydbr,6,"Wednesday, March 14, 2012 13:43:11 UTC",40.9270,144.7816,4.9,10.70,199,"off the east coast of Honshu, Japan"
us,b0008gvl,B,"Wednesday, March 14, 2012 12:05:05 UTC",35.7098,140.7375,5.7,16.90,348,"near the east coast of Honshu, Japan"
ak,10431680,1,"Wednesday, March 14, 2012 12:03:44 UTC",59.2270,-144.3871,2.6,47.70, 8,"Gulf of Alaska"
pr,12074001,0,"Wednesday, March 14, 2012 11:55:22 UTC",19.1364,-66.4970,2.7,17.00, 5,"Puerto Rico region"
pr,12074002,0,"Wednesday, March 14, 2012 11:54:18 UTC",18.1805,-67.3755,2.8,17.00,14,"Mona Passage, Puerto Rico"
us,b0008gv9,7,"Wednesday, March 14, 2012 11:40:19 UTC",40.9573,144.7926,5.4,22.20,354,"off the east coast of Honshu, Japan"
us,b0008gup,7,"Wednesday, March 14, 2012 10:57:41 UTC",40.7636,144.8297,5.7,21.80,448,"off the east coast of Honshu, Japan"
us,b0008gui,B,"Wednesday, March 14, 2012 10:49:24 UTC",40.7991,144.7699,6.1,9.50,528,"off the east coast of Honshu, Japan"
ci,11079786,0,"Wednesday, March 14, 2012 09:59:54 UTC",32.1347,-115.2418,3.1,8.70,14,"Baja California, Mexico"
us,b0008gs0,A,"Wednesday, March 14, 2012 09:08:37 UTC",40.8990,144.9230,6.9,26.60,228,"off the east coast of Honshu, Japan"
us,b0008grf,4,"Wednesday, March 14, 2012 07:46:40 UTC",-59.7703,-26.4409,4.8,81.50,35,"South Sandwich Islands region"
us,b0008gr6,8,"Wednesday, March 14, 2012 07:29:30 UTC",52.0693,-179.9552,4.5,149.20,148,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10431590,2,"Wednesday, March 14, 2012 07:29:17 UTC",51.0564,179.3925,4.5,111.00,11,"Rat Islands, Aleutian Islands, Alaska"
us,b0008gql,7,"Wednesday, March 14, 2012 06:53:01 UTC",18.4670,145.3026,4.5,479.00,130,"Pagan region, Northern Mariana Islands"
us,b0008gqj,4,"Wednesday, March 14, 2012 06:51:56 UTC",54.2611,-35.1223,4.9,10.80,165,"Reykjanes Ridge"
nc,71747545,0,"Wednesday, March 14, 2012 06:36:07 UTC",39.0115,-122.5910,2.8,3.50,14,"Northern California"
nc,71747540,3,"Wednesday, March 14, 2012 06:30:20 UTC",39.0115,-122.5777,3.1,0.00,33,"Northern California"
us,b0008gpq,7,"Wednesday, March 14, 2012 05:08:28 UTC",-10.2716,161.1053,4.9,107.20,77,"Solomon Islands"
us,b0008gpi,5,"Wednesday, March 14, 2012 05:05:40 UTC",17.8647,-95.1909,4.0,118.80,26,"Veracruz, Mexico"
us,b0008gps,2,"Wednesday, March 14, 2012 04:43:01 UTC",25.1403,142.5597,4.8,40.20,133,"Volcano Islands, Japan region"
